lga_name11,lga_code11,domestic_family_sexual_violence_rate_per_100k
Alpine (S),20110,39.9
Ararat (RC),20260,59.7
Ballarat (C),20570,73.1
Banyule (C),20660,30.2
Bass Coast (S),20740,38
Baw Baw (S),20830,47.6
Bayside (C),20910,23.1
Benalla (RC),21010,35.8
Boroondara (C),21110,13.4
Brimbank (C),21180,58.6
Buloke (S),21270,32.5
Campaspe (S),21370,40
Cardinia (S),21450,39.9
Casey (C),21610,52.9
Central Goldfields (S),21670,122.4
Colac-Otway (S),21750,51.3
Corangamite (S),21830,12.4
Darebin (C),21890,45.5
East Gippsland (S),22110,47.8
Frankston (C),22170,85.3
Gannawarra (S),22250,75.8
Hepburn (S),22910,38.2
Hindmarsh (S),22980,35.2
Hobsons Bay (C),23110,41.1
Horsham (RC),23190,70.5
Hume (C),23270,66.9
Indigo (S),23350,12.3
Kingston (C),23430,28.5
Knox (C),23670,43.2
Latrobe (C),23810,113.9
Loddon (S),23940,26.6
Macedon Ranges (S),24130,47.5
Manningham (C),24210,23.2
Mansfield (S),24250,22.9
Maribyrnong (C),24330,50
Maroondah (C),24410,44.6
Melbourne (C),24600,51.6
Melton (S),24650,59.9
Mildura (RC),24780,105.4
Mitchell (S),24850,67.7
Moira (S),24900,67.9
Monash (C),24970,32
Moonee Valley (C),25060,37.4
Moorabool (S),25150,50.7
Moreland (C),25250,32.9
Mornington Peninsula (S),25340,54
Mount Alexander (S),25430,10.4
Moyne (S),25490,23.9
Murrindindi (S),25620,70.6
Nillumbik (S),25710,15.5
Northern Grampians (S),25810,78.2
Port Phillip (C),25900,60.6
Pyrenees (S),25990,27.2
South Gippsland (S),26170,65.2
Southern Grampians (S),26260,56.2
Stonnington (C),26350,21.9
Strathbogie (S),26430,19.1
Surf Coast (S),26490,22.4
Swan Hill (RC),26610,71.9
Towong (S),26670,33.5
Wangaratta (RC),26700,66
Warrnambool (C),26730,69.4
Wellington (S),26810,48
West Wimmera (S),26890,51.7
Whitehorse (C),26980,21.3
Whittlesea (C),27070,44
Wodonga (RC),27170,27.1
Wyndham (C),27260,53.3
Yarra (C),27350,47.9
Yarra Ranges (S),27450,43.3
Yarriambiack (S),27630,30
Glen Eira (C),22310,20.4
Glenelg (S),22410,71.2
Golden Plains (S),22490,22.3
Greater Bendigo (C),22620,49.2
Greater Dandenong (C),22670,65.2
Greater Geelong (C),22750,51.5
Greater Shepparton (C),22830,76.2
