lga_erp,lga_name11,lga_code,reference_period, total_division_c_offences, a30_sexual_offences, c30_drug_use__and__possession, d20_disorderly__and__offensive_conduct, e10_justice_procedures, total_division_f_offences, a50_robbery, c10_drug_dealing__and__trafficking, b50_deception, a70_stalking_harassment__and__threatening_behaviour, b20_property_damage, a80_dangerous__and__negligent_acts_endangering_people, a10_homicide__and__related_offences, total_division_a_offences, d30_public_nuisance_offences, b10_arson, total_division_d_offences, c20_cultivate_or_manufacture_drugs, f90_miscellaneous_offences, b30_burglary_break__and__enter, a20_assault__and__related_offences, d40_public_security_offences, total_division_b_offences, total_division_e_offences, e20_breaches_of_orders, f10_regulatory_driving_offences, b40_theft, a40_abduction__and__related_offences, c90_other_drug_offences, f20_transport_regulation_offences, b60_bribery,,,
103964,Ballarat (C),20570,2016,498,544,398,279,424,32,38,53,695,130,1212,125,2,1784,41,153,664,45,3,1245,931,1,7363,1615,1191,1,4058,12,2,8,null,,,
127791,Banyule (C),20660,2016,476,175,353,166,223,16,36,95,712,214,774,76,2,1236,61,60,434,28,3,1155,715,2,6154,1490,1267,null,3453,11,null,6,null,,,
32848,Bass Coast (S),20740,2016,122,115,92,99,105,9,3,20,119,98,323,60,null,620,24,38,212,10,1,218,337,null,1434,592,487,null,736,7,null,3,null,,,
48072,Baw Baw (S),20830,2016,431,220,326,85,108,40,11,91,165,143,352,50,2,794,35,38,291,14,24,304,360,null,1931,616,508,null,1072,7,null,11,null,,,
102882,Bayside (C),20910,2016,249,137,213,133,79,16,34,25,394,110,486,25,2,623,38,23,311,11,1,596,308,null,3716,453,374,null,2217,6,null,11,null,,,
13444,Benalla (RC),21010,2016,67,80,52,17,32,11,4,11,206,37,187,21,null,333,18,18,74,4,4,92,189,null,767,328,296,null,264,2,null,null,null,,,
176732,Boroondara (C),21110,2016,343,153,300,157,134,11,40,32,790,137,603,37,2,787,29,21,303,11,3,1193,410,1,6403,708,574,null,3796,6,null,4,null,,,
12010,Alpine (S),20110,2016,27,32,15,34,1,8,null,8,12,17,36,4,null,104,3,2,63,3,null,29,51,null,158,47,46,null,79,null,1,6,null,,,
11022,Ararat (RC),20260,2016,123,36,106,87,81,4,2,14,50,33,141,20,null,260,16,7,148,3,4,72,169,null,455,253,172,null,185,null,null,null,null,,,
202863,Brimbank (C),21180,2016,1539,231,1095,315,477,26,202,338,1003,384,1496,163,9,2562,85,128,1221,106,4,2023,1545,1,11664,2537,2060,null,7014,24,null,17,null,,,
5891,Buloke (S),21270,2016,22,18,16,2,5,3,null,4,4,7,32,5,null,50,1,null,9,2,1,24,20,null,122,15,10,null,62,null,null,null,null,,,
36872,Campaspe (S),21370,2016,160,235,121,139,180,19,8,25,97,113,341,47,2,759,23,37,317,14,13,336,340,null,1752,696,516,null,941,11,null,1,null,,,
95992,Cardinia (S),21450,2016,378,216,318,125,247,20,33,44,323,175,644,93,2,1173,51,107,386,16,6,805,629,22,4074,1488,1241,null,2195,17,null,10,null,,,
304071,Casey (C),21610,2016,1133,559,925,285,688,32,191,153,1343,792,1734,258,9,4068,82,215,957,55,7,2642,2197,5,13907,3250,2562,null,7973,49,null,19,null,,,
