sa2_main11,sa2_name11,year,Average Super,Average Investment Income,Average other income,Total income earners,Total income,Average total income,Average Wage and salary income
101011001,Goulburn,2009,24823,5154,2118,11198,448,40014,42138
101011002,Goulburn Region,2009,24717,5899,3066,6365,233,36659,40338
101011003,Yass,2009,27185,6423,3169,3516,167,47363,48377
101011004,Yass Region,2009,28513,7322,3660,5945,278,46750,47598
101011005,Young,2009,17663,7262,1487,5352,194,36183,35029
101011006,Young Region,2009,23002,7137,1447,3809,127,33393,34537
101021007,Braidwood,2009,30565,6686,3214,1796,65,36390,40999
101021008,Karabar,2009,29959,5498,2280,5140,263,51202,50535
101021009,Queanbeyan,2009,29911,5499,2281,6116,313,51197,50531
101021010,Queanbeyan - East,2009,30008,5498,2276,2775,142,51192,50534
101021011,Queanbeyan Region,2009,29116,6444,2910,8472,442,52220,51958
101021012,Queanbeyan West - Jerrabomberra,2009,29246,5912,2422,7432,463,62265,61007
101031013,Bombala,2009,23317,6935,2139,1412,50,35439,36311
101031014,Cooma,2009,28207,5623,2963,3842,146,38044,39311
101031015,Cooma Region,2009,29214,5124,3810,1748,65,37095,39295
101031016,Jindabyne - Berridale,2009,22083,7555,3152,3269,127,38758,37443
101041017,Batemans Bay,2009,27708,7436,3349,3802,125,32856,33669
101041018,Batemans Bay - South,2009,27683,7437,3346,4165,137,32857,33673
101041019,Bega - Tathra,2009,23095,6172,3181,4326,150,34597,35887
101041020,Bega-Eden Hinterland,2009,23446,6409,3221,4744,165,34712,35845
101041021,Broulee - Tomakin,2009,25741,6630,4118,1508,51,33790,35418
101041022,Deua - Wadbilliga,2009,11839,6276,0,32,1,32838,33862
101041023,Eden,2009,28900,6925,3101,1784,64,35665,35592
101041024,Eurobodalla Hinterland,2009,26545,6447,3315,1687,55,32378,33279
101041025,Merimbula - Tura Beach,2009,24948,8764,2941,5762,198,34399,35063
101041026,Moruya - Tuross Head,2009,25731,6633,4119,4061,137,33803,35428
101041027,Narooma - Bermagui,2009,26004,8816,4817,4527,142,31448,31881
102011028,Avoca Beach - Copacabana,2009,23132,6203,4274,3927,171,43512,45664
102011029,Box Head - MacMasters Beach,2009,22144,5850,4065,5547,227,40966,43860
102011030,Calga - Kulnura,2009,22731,6056,3381,2469,108,43602,44928
102011031,Erina - Green Point,2009,22750,6009,4085,7654,334,43693,45266
102011032,Gosford - Springfield,2009,22191,5477,3186,10144,440,43408,44699
102011033,Kariong,2009,22136,5476,3185,3622,157,43407,44703
102011034,Kincumber - Picketts Valley,2009,23191,6202,4276,3984,173,43507,45658
102011035,Narara,2009,22273,5476,3188,3644,158,43413,44703
102011036,Niagara Park - Lisarow,2009,22200,5477,3183,4518,196,43413,44704
102011037,Point Clare - Koolewong,2009,21902,5650,3325,3501,151,43136,44582
102011038,Saratoga - Davistown,2009,23136,6202,4278,3719,162,43506,45664
102011039,Terrigal - North Avoca,2009,23914,9115,9411,7676,371,48382,47353
102011040,Umina - Booker Bay - Patonga,2009,21328,5579,3838,11675,454,38921,42392
102011041,Wamberal - Forresters Beach,2009,23807,9023,9291,5527,266,48108,47155
102011042,Woy Woy - Blackwall,2009,20505,7024,4341,6728,276,41081,43553
102011043,Wyoming,2009,22153,5476,3187,6281,273,43409,44703
102021044,Bateau Bay - Killarney Vale,2009,20916,5154,2856,11296,438,38811,40748
102021045,Blue Haven - San Remo,2009,19347,2154,2327,4809,179,37257,40176
102021046,Budgewoi - Buff Point - Halekulani,2009,19274,2154,2331,3998,149,37255,40181
102021047,Chittaway Bay - Tumbi Umbi,2009,20882,5151,2849,8105,315,38807,40747
102021048,Gorokan - Kanwal - Charmhaven,2009,20137,3913,2549,9546,360,37680,40763
102021049,Jilliby - Yarramalong,2009,20320,4004,2905,1448,58,40093,42883
102021050,Lake Munmorah - Mannering Park,2009,20358,3943,2896,4829,193,39991,42784
102021051,Ourimbah - Fountaindale,2009,35799,5504,2446,2754,119,43173,45318
102021052,Summerland Point - Gwandalan,2009,20353,4002,2911,2598,104,40101,42884
102021053,The Entrance,2009,20934,5151,2848,7386,287,38809,40744
102021054,Toukley - Norah Head,2009,20048,3860,2349,4066,147,36262,39466
102021055,Tuggerah - Kangy Angy,2009,21335,4120,2876,2452,99,40317,43068
102021056,Warnervale - Wadalba,2009,20375,4002,2909,6014,241,40078,42873
102021057,Wyong,2009,20336,4003,2916,3925,157,40091,42888
103011058,Bathurst,2009,22554,5856,2121,11946,504,42191,42911
103011059,Bathurst - East,2009,22527,5856,2119,4936,208,42191,42910
103011060,Bathurst Region,2009,22606,5859,2125,3435,145,42106,42915
103011061,Oberon,2009,21183,6193,1653,2438,99,40383,43229
103021062,Condobolin,2009,23417,6672,870,3650,101,27646,33405
103021063,Cowra,2009,19082,7438,2101,4734,162,34191,34373
103021064,Cowra Region,2009,15276,7948,1438,2640,88,33357,34866
103021065,Forbes,2009,20999,7602,1626,5130,174,33871,35928
103021066,Grenfell,2009,26514,6435,1530,1898,63,33131,31816
103021067,Parkes (NSW),2009,23507,4527,1231,5568,220,39457,41750
103021068,Parkes Region,2009,19334,4916,1100,1748,54,31093,35880
103021069,West Wyalong,2009,20860,4964,1422,3266,100,30452,36385
103031070,Lithgow,2009,20638,3715,2262,5922,274,46309,49573
103031071,Lithgow Region,2009,20543,4847,2421,3824,179,46830,49914
103031072,Mudgee,2009,23327,5795,2231,5392,215,39853,43905
103031073,Mudgee Region - East,2009,22623,8213,3461,1482,59,39792,45797
103031074,Mudgee Region - West,2009,20738,6073,2372,4976,193,38767,42611
103031075,Wollangambe - Wollemi,2009,0,0,0,0,0,0,0
103041076,Blayney,2009,22420,5684,2146,3533,141,39988,43200
103041077,Orange,2009,20560,6631,2438,10374,468,45062,44657
103041078,Orange - North,2009,20512,6631,2439,8899,401,45063,44658
103041079,Orange Region,2009,21181,6132,2219,5775,237,41084,42490
104011080,Grafton,2009,24235,4508,2074,9063,309,34123,36797
