sa2_main11,sa2_name11,Average total income
207031167,Surrey Hills (East) - Mont Albert,75598
201011007,Smythes Creek,39794
201011006,Delacombe,38533
201011005,Buninyong,48534
201011004,Ballarat - South,43411
201011003,Ballarat - North,46651
201011002,Ballarat,45895
201011001,Alfredton,46530
201011008,Wendouree - Miners Rest,40953
201021009,Bacchus Marsh Region,46609
201021011,Daylesford,40032
215011386,Ararat,39183
214021385,Somerville,46824
214021384,Rosebud - McCrae,38154
214021383,Point Nepean,44943
214021382,Mount Martha,53389
214021381,Mount Eliza,65349
214021380,Mornington,46735
214021379,Hastings - Somers,44672
214021378,Flinders,56436
214021377,Dromana,41048
214011376,Skye - Sandhurst,45606
214011375,Seaford (Vic.),43353
214011374,Langwarrin,47212
214011373,Frankston South,44762
215011387,Ararat Region,41829
214011372,Frankston North,42770
214011370,Carrum Downs,43865
213051369,Wyndham Vale,47664
213051368,Werribee - South,51045
213051367,Werribee,51243
213051366,Truganina,48177
213051365,Tarneit,46852
213051364,Point Cook,51047
213051363,Laverton,46906
213051362,Hoppers Crossing - South,46841
213051361,Hoppers Crossing - North,46842
214011371,Frankston,44761
215011388,Horsham,41513
215011390,Nhill Region,44754
217011420,Glenelg (Vic.),41520
216031419,Shepparton Region - West,37801
216031418,Shepparton Region - East,38852
216031417,Shepparton - South,42151
216031416,Shepparton - North,41057
216031415,Mooroopna,36101
216021414,Yarrawonga,40399
216021413,Numurkah,34810
216021412,Moira,35787
216021411,Cobram,37927
216011410,Rushworth,34815
216011409,Rochester,38001
216011408,Lockington - Gunbower,35860
216011407,Kyabram,35897
215011389,Horsham Region,42619
216011406,Echuca,40912
215031404,Swan Hill,41027
215031403,Robinvale,37427
215031402,Kerang,31997
215031401,Gannawarra,35136
215031400,Buloke,38905
215021399,Red Cliffs,34943
215021398,Mildura Region,42678
215021397,Mildura,39944
215021396,Merbein,35144
215021395,Irymple,39057
215011394,Yarriambiack,48435
215011393,West Wimmera,39861
215011392,Stawell,40344
215011391,St Arnaud,36647
215031405,Swan Hill Region,37966
213041354,Caroline Springs,46873
213041353,Bacchus Marsh,48126
212041317,Springvale,33968
212041316,Noble Park North,37487
212041315,Noble Park,37522
212041314,Keysborough,43610
212041313,Dingley Village,43497
212041312,Dandenong North,38210
212041311,Dandenong,38227
212041310,Clayton South,40163
212041309,Clarinda - Oakleigh South,42676
212031308,Pearcedale - Tooradin,45660
212031307,Narre Warren South,45385
212031306,Lynbrook - Lyndhurst,48473
212031305,Hampton Park - Lynbrook,40387
212041318,Springvale South,43498
212031301,Cranbourne East,45787
212031300,Cranbourne,45602
212021299,Narre Warren North,57421
212021298,Narre Warren,45382
212021297,Hallam,41586
212021296,Endeavour Hills,43101
212021295,Doveton,35561
212021294,Berwick - South,53827
212021293,Berwick - North,53880
212011292,Pakenham - South,44699
212011291,Pakenham - North,44697
212011290,Koo Wee Rup,42599
212011289,Emerald - Cockatoo,49640
212011288,Bunyip - Garfield,44217
212031302,Cranbourne North,45600
212051319,Ashwood - Chadstone,52288
212051320,Clayton,38557
212051321,Glen Waverley - East,50622
213031352,Yarraville,59508
213031351,West Footscray - Tottenham,47720
213031350,Seddon - Kingsville,46883
213031349,Maribyrnong,57264
213031348,Footscray,45904
213031347,Braybrook,42655
213021346,Williamstown,70387
213021345,Seabrook,44853
213021344,Newport,59610
213021343,Altona North,46614
213021342,Altona Meadows,44855
213021341,Altona,50154
213011340,Taylors Lakes,47261
213011339,Sydenham,46756
213011338,Sunshine West,38569
213011337,Sunshine North,38564
213011336,Sunshine,38572
212051322,Glen Waverley - West,50621
212051323,Mount Waverley - North,50855
212051324,Mount Waverley - South,50856
212051325,Mulgrave,47047
212051326,Oakleigh - Huntingdale,47983
212051327,Wheelers Hill,50621
217011421,Hamilton (Vic.),42085
213011328,Ardeer - Albion,40206
213011330,Deer Park - Derrimut,48076
213011332,Keilor Downs,45437
213011333,Kings Park (Vic.),37915
213011334,St Albans - North,37752
213011335,St Albans - South,37765
213011329,Cairnlea,46876
217011422,Portland,45511
217011423,Southern Grampians,45381
217021424,Camperdown,39585
212011287,Beaconsfield - Officer,53627
201021010,Creswick - Clunes,40238
217021433,Warrnambool - South,44030
217021432,Warrnambool - North,43574
217021431,Otway,37590
217021430,Moyne - West,43042
217021429,Moyne - East,45108
217021428,Corangamite - South,42335
217021427,Corangamite - North,38661
217021426,Colac Region,38947
217021425,Colac,40066
211051286,Yarra Valley,41703
211051284,Upwey - Tecoma,47148
206021110,Alphington - Fairfield,64653
206011109,Pascoe Vale South,51015
206011108,Coburg,47825
206011107,Brunswick West,51799
206011106,Brunswick East,53912
206011105,Brunswick,51299
206021111,Northcote,59781
206021112,Thornbury,52227
206031114,Essendon - Aberfeldie,63767
206071144,Richmond (Vic.),67650
206071143,Fitzroy North,68181
206071142,Fitzroy,60913
206071141,Collingwood,56299
206071140,Carlton North - Princes Hill,67731
206071139,Abbotsford,59096
206061138,Toorak,150548
206061137,South Yarra - East,90654
206061136,Prahran - Windsor,68943
206061135,Armadale,93967
206051134,St Kilda East,59453
206051133,St Kilda,65737
206051132,South Melbourne,77120
206051131,Port Melbourne Industrial,85096
206031113,Ascot Vale,57264
206051130,Port Melbourne,84418
206051128,Albert Park,104168
206041127,West Melbourne,0
206041126,Southbank,75522
206041125,South Yarra - West,88783
206041124,Parkville,62006
206041123,North Melbourne,54541
206041122,Melbourne,56663
206041121,Kensington,58089
206041120,Flemington Racecourse,57801
206041119,East Melbourne,103268
206041118,Docklands,70119
206041117,Carlton,49994
206031116,Moonee Ponds,63902
206031115,Flemington,57941
206051129,Elwood,73857
203021040,Geelong West - Hamlyn Heights,47507
203021039,Geelong,52436
203021038,Corio - Norlane,42033
203021037,Belmont,46774
203011036,Winchelsea,45454
203011035,Golden Plains - South,44111
203011034,Bannockburn,50812
202031033,Loddon,34121
202031032,Bendigo Region - North,39175
202021031,Woodend,55798
202021030,Kyneton,44994
202021029,Heathcote,37386
202021028,Castlemaine Region,38912
202021027,Castlemaine,39419
203021041,Grovedale,46774
202021026,Bendigo Region - South,44280
202011024,Strathfieldsaye,46459
202011023,Maiden Gully,46426
202011022,Kangaroo Flat - Golden Square,38931
202011021,Flora Hill - Spring Gully,44012
202011020,East Bendigo - Kennington,44023
202011019,California Gully - Eaglehawk,37219
202011018,Bendigo,44016
201031017,Maryborough Region,32904
201031016,Maryborough (Vic.),34970
201031015,Golden Plains - North,41105
201031014,Beaufort,36711
201031013,Avoca,36459
201021012,Gordon (Vic.),45403
211051285,Wandin - Seville,45362
202011025,White Hills - Ascot,45700
203021042,Highton,47023
203021043,Lara,50090
203021044,Leopold,44596
204031072,Towong,39390
204031071,Myrtleford,37595
204031070,Chiltern - Indigo Valley,43773
204031069,Bright - Mount Beauty,36886
204031068,Beechworth,40704
204021067,Wangaratta Region,38530
204021066,Wangaratta,39676
204021065,Rutherglen,42106
204021064,Benalla Region,36192
204021063,Benalla,39473
204011062,Yea,38610
204011061,Upper Yarra Valley,39012
204011060,Seymour Region,46983
204011059,Seymour,40476
203021045,Newcomb - Moolap,44573
203021046,Newtown (Vic.),61412
203021047,North Geelong - Bell Park,45677
203031048,Clifton Springs,44000
203031049,Lorne - Anglesea,42140
203031050,Ocean Grove - Barwon Heads,50605
206071145,Yarra - North,67235
203031051,Portarlington,39712
203031053,Torquay,52996
204011054,Alexandra,38122
204011055,Euroa,36020
204011056,Kilmore - Broadford,45651
204011057,Mansfield (Vic.),37496
204011058,Nagambie,39744
203031052,Queenscliff,47530
207011146,Ashburton (Vic.),60349
207011148,Balwyn North,66667
210051248,Melbourne Airport,51690
210051247,Meadow Heights,35953
210051246,Greenvale - Bulla,50701
210051245,Gladstone Park - Westmeadows,46714
210051244,Craigieburn - Mickleham,43991
210051243,Campbellfield - Coolaroo,36384
210051242,Broadmeadows,35167
210041241,Sunbury - South,48922
210041240,Sunbury,49554
210031239,Pascoe Vale,48929
210031238,Glenroy - Hadfield,43389
210031237,Fawkner,39797
210031236,Coburg North,47839
210021235,Romsey,48793
210051249,Roxburgh Park - Somerton,44389
210021234,Riddells Creek,50825
210021232,Gisborne,54633
210011231,Strathmore,58998
210011230,Niddrie - Essendon West,52771
210011229,Keilor East,47784
210011228,Keilor,54567
210011227,Essendon Airport,0
210011226,Airport West,49175
209041223,Thomastown,38996
209041222,South Morang,50232
209041221,Mill Park - South,44821
209041220,Mill Park - North,44823
209041219,Lalor,38561
210021233,Macedon,66425
210051250,Tullamarine,45586
211011252,Boronia - The Basin,44996
211011253,Ferntree Gully,48803
211051283,Mount Evelyn,45007
207011147,Balwyn,75634
211051282,Mount Dandenong - Olinda,51345
211051281,Mooroolbark,45770
211051280,Montrose,49818
211051279,Monbulk - Silvan,43386
211051278,Lilydale - Coldstream,47453
211051277,Kilsyth,44856
211051276,Healesville - Yarra Glen,43936
211051275,Chirnside Park,48271
211051274,Belgrave - Selby,48573
211041273,Vermont South,50794
211041272,Vermont,50796
211041271,Nunawading,47276
211041270,Mitcham (Vic.),50777
211041269,Forest Hill,47277
211031268,Ringwood North,51480
211011254,Knoxfield - Scoresby,46176
211011255,Lysterfield,48950
211011256,Rowville - Central,50417
211011257,Rowville - North,50392
211011258,Rowville - South,50416
211011259,Wantirna,48327
209041218,Epping,44083
211011260,Wantirna South,48340
211021262,Warrandyte - Wonga Park,66805
211031263,Bayswater North,44854
211031264,Croydon,46783
211031265,Croydon Hills - Warranwood,48628
211031266,Ringwood,51309
211031267,Ringwood East,48616
