AREA_CODE,LGA_CODE,PLM_ID,PERIMETER,NAME,REC_SBCAT,LGA_NAME
39,335,14551,213.0637326,ATTENBOROUGH PARK - ASPENDALE,PARKLANDS AND GARDENS,KINGSTON
34,325,14709,40.8883185,BENDIGO COMMUNITY PARKLAND,PARKLANDS AND GARDENS,GREATER BENDIGO
34,325,14710,79.79505607,BENDIGO COMMUNITY PARKLAND,PARKLANDS AND GARDENS,GREATER BENDIGO
34,325,14711,1644.973945,BENDIGO COMMUNITY PARKLAND,PARKLANDS AND GARDENS,GREATER BENDIGO
34,325,14712,916.885615,BENDIGO COMMUNITY PARKLAND,PARKLANDS AND GARDENS,GREATER BENDIGO
34,325,14713,177.1169864,BENDIGO POST OFFICE BUILDING (FORMER),BUILDINGS IN PUBLIC USE,GREATER BENDIGO
39,343,14724,351.9457132,BIRRARUNG MARR,PARKLANDS AND GARDENS,MELBOURNE
39,343,14725,428.3386335,BIRRARUNG MARR,PARKLANDS AND GARDENS,MELBOURNE
37,314,14726,1108.440021,BIRREGURRA - FORREST RAIL TRAIL,RECREATION TRAIL,COLAC OTWAY
37,314,14727,879.4820629,BIRREGURRA - FORREST RAIL TRAIL,RECREATION TRAIL,COLAC OTWAY
39,358,14339,682.2098585,ALBERT PARK,RECREATION AREA,PORT PHILLIP
37,314,14406,803.0008016,APOLLO BAY SCHOOL,BUILDINGS IN PUBLIC USE,COLAC OTWAY
14,302,14630,962.3960678,BALLARAT - SKIPTON RAIL TRAIL RESERVE,RECREATION TRAIL,BALLARAT
14,324,14631,245.699035,BALLARAT - SKIPTON RAIL TRAIL RESERVE,RECREATION TRAIL,GOLDEN PLAINS
25,327,14691,1581.199175,BECKLEY PARK,RECREATION AREA,GREATER GEELONG
25,327,14703,586.6559792,BELLARINE RAIL TRAIL,RECREATION TRAIL,GREATER GEELONG
34,325,14704,146.9415577,BENDIGO ART GALLERY,BUILDINGS IN PUBLIC USE,GREATER BENDIGO
34,325,14705,56.84491213,BENDIGO COMMUNITY PARKLAND,PARKLANDS AND GARDENS,GREATER BENDIGO
34,325,14706,74.0868914,BENDIGO COMMUNITY PARKLAND,PARKLANDS AND GARDENS,GREATER BENDIGO
34,325,14707,138.4498604,BENDIGO COMMUNITY PARKLAND,PARKLANDS AND GARDENS,GREATER BENDIGO
34,325,14708,285.0061304,BENDIGO COMMUNITY PARKLAND,PARKLANDS AND GARDENS,GREATER BENDIGO
37,365,167,659.5121323,Anglesea Heath Alcoa Agreement Area,NO LCC SPECIFIC RECOMMENDATION,SURF COAST
25,350,14622,202.2156011,BALLAN GOLF COURSE,RECREATION AREA,MOORABOOL
25,350,14623,516.6467222,BALLAN GOLF COURSE,RECREATION AREA,MOORABOOL
25,350,14624,173.6972805,BALLAN GOLF COURSE,RECREATION AREA,MOORABOOL
39,343,14380,552.5490279,ALEXANDRA GARDENS BOAT SHEDS,RECREATION AREA,MELBOURNE
39,376,14381,433.0322871,ALLAN BAIN RESERVE - RICHMOND,RECREATION AREA,YARRA
2,370,15292,327.8793531,CHARLES STREET RECREATION RESERVE & LOCH SPORT GOLF CLUB,RECREATION AREA,WELLINGTON
2,370,15293,3883.503919,CHARLES STREET RECREATION RESERVE & LOCH SPORT GOLF CLUB,RECREATION AREA,WELLINGTON
2,370,15294,196.1744085,CHARLES STREET RECREATION RESERVE & LOCH SPORT GOLF CLUB,RECREATION AREA,WELLINGTON
34,309,15295,73.73472787,CHARLTON INFANT WELFARE CENTRE & KINDER,BUILDINGS IN PUBLIC USE,BULOKE
34,309,15296,81.72501365,CHARLTON INFANT WELFARE CENTRE & KINDER,BUILDINGS IN PUBLIC USE,BULOKE
39,311,15109,367.4485199,CARDINIA PRIMARY SCHOOL,BUILDINGS IN PUBLIC USE,CARDINIA
39,349,15456,97.18700805,CROSS KEYS RESERVE - ESSENDON,RECREATION AREA,MOONEE VALLEY
39,343,15457,6.885189085,CROWN CASINO,RECREATION AREA,MELBOURNE
39,343,15458,6.893287001,CROWN CASINO,RECREATION AREA,MELBOURNE
39,343,15459,6.568297665,CROWN CASINO,RECREATION AREA,MELBOURNE
39,343,15460,6.880892148,CROWN CASINO,RECREATION AREA,MELBOURNE
39,343,15461,6.888296391,CROWN CASINO,RECREATION AREA,MELBOURNE
39,343,15462,6.880858672,CROWN CASINO,RECREATION AREA,MELBOURNE
39,343,15463,6.880482262,CROWN CASINO,RECREATION AREA,MELBOURNE
39,343,15464,6.879303428,CROWN CASINO,RECREATION AREA,MELBOURNE
39,343,15465,6.882624707,CROWN CASINO,RECREATION AREA,MELBOURNE
39,343,15466,6.886310698,CROWN CASINO,RECREATION AREA,MELBOURNE
39,343,15467,6.889514926,CROWN CASINO,RECREATION AREA,MELBOURNE
39,343,15468,6.885451941,CROWN CASINO,RECREATION AREA,MELBOURNE
39,343,15469,6.377321802,CROWN CASINO,RECREATION AREA,MELBOURNE
39,343,15470,6.376313921,CROWN CASINO,RECREATION AREA,MELBOURNE
39,343,15471,6.37899463,CROWN CASINO,RECREATION AREA,MELBOURNE
