AREA_CODE,LGA_CODE,PLM_ID,PERIMETER,NAME,REC_SBCAT,LGA_NAME
34,301,21177,1052.94393,ALEXANDRA GARDENS,PARKLANDS AND GARDENS,ARARAT
34,301,21491,443.2060095,ARARAT PUBLIC RECREATION RESERVE,PARKLANDS AND GARDENS,ARARAT
34,301,21498,182.5189776,ARARAT SOLDIERS MEMORIAL PARK,PARKLANDS AND GARDENS,ARARAT
34,301,27024,2040.484294,CEMETERY CREEK PUBLIC OPEN SPACE,PARKLANDS AND GARDENS,ARARAT
34,301,32918,177.146966,EMU PARK,PARKLANDS AND GARDENS,ARARAT
34,301,36544,162.1994982,HEWITT STREET CHILDREN'S PLAYGROUND,PARKLANDS AND GARDENS,ARARAT
34,301,36637,144.2756163,HIGH STREET CHILDREN'S PLAYGROUND,PARKLANDS AND GARDENS,ARARAT
34,301,48897,453.7969907,PUBLIC PARK1,PARKLANDS AND GARDENS,ARARAT
34,301,49119,202.0248704,QUEEN STREET CHILDRENS PLAYGROUND,PARKLANDS AND GARDENS,ARARAT
34,301,49122,228.2834492,QUEEN STREET CHILDRENS PLAYGROUND,PARKLANDS AND GARDENS,ARARAT
34,301,58829,399.3292611,WARRAWEE PUBLIC PARK,PARKLANDS AND GARDENS,ARARAT
39,303,19768,122.5683015,WARRINGAL PARKLANDS,PARKLANDS AND GARDENS,BANYULE
39,303,35907,1030.889861,GREENWOOD DRIVE PUBLIC PARK - BUNDOORA,PARKLANDS AND GARDENS,BANYULE
39,303,36501,210.4645394,HEIDELBERG PUBLIC PARK,PARKLANDS AND GARDENS,BANYULE
39,303,36370,533.699791,HARRY POTTAGE RESERVE - MACLEOD,PARKLANDS AND GARDENS,BANYULE
39,303,36371,381.9794241,HARRY POTTAGE RESERVE - MACLEOD,PARKLANDS AND GARDENS,BANYULE
39,303,36372,322.8974857,HARRY POTTAGE RESERVE - MACLEOD,PARKLANDS AND GARDENS,BANYULE
39,303,54873,175.9472348,THE BOULEVARD RESERVE - IVANHOE,PARKLANDS AND GARDENS,BANYULE
39,303,58862,535.3657974,WARRINGAL PARKLANDS,PARKLANDS AND GARDENS,BANYULE
39,303,58863,141.490145,WARRINGAL PARKLANDS,PARKLANDS AND GARDENS,BANYULE
39,303,58864,49.20406645,WARRINGAL PARKLANDS,PARKLANDS AND GARDENS,BANYULE
39,303,58865,330.1867329,WARRINGAL PLACE REMEMBRANCE PARK,PARKLANDS AND GARDENS,BANYULE
32,304,29637,354.7387181,CORINELLA PARKLAND - THE ESPLANADE,PARKLANDS AND GARDENS,BASS COAST
32,304,36092,251.8836976,HAGELTHORN STREET PARK,PARKLANDS AND GARDENS,BASS COAST
32,304,41764,270.7438107,MC BRIDE AVE GARDENS & INFO CENTRE,PARKLANDS AND GARDENS,BASS COAST
32,304,46965,251.5029929,PARKLAND NORTH OF MINERS REST HOTEL,PARKLANDS AND GARDENS,BASS COAST
32,304,48929,107.162499,PUBLIC RECREATION RESERVE,PARKLANDS AND GARDENS,BASS COAST
32,304,58689,284.9621424,WAR MEMORIAL,PARKLANDS AND GARDENS,BASS COAST
32,304,61713,126.8069525,WONTHAGGI CHILDRENS PLAYGROUND RESERVE,PARKLANDS AND GARDENS,BASS COAST
32,304,61737,345.4853514,WONTHAGGI PUBLIC RECREATION RESERVE,PARKLANDS AND GARDENS,BASS COAST
32,305,21171,260.2708002,ALEX GOUDI MORTON PARK MEMORIAL RESERVE,PARKLANDS AND GARDENS,BAW BAW
32,305,32084,176.4123698,DROUIN ORNAMENTAL PLANTATION,PARKLANDS AND GARDENS,BAW BAW
32,305,32093,223.75138,DROUIN WEST PLAYGROUND RESERVE,PARKLANDS AND GARDENS,BAW BAW
32,305,34859,1235.042484,GLEN CROMIE PARK,PARKLANDS AND GARDENS,BAW BAW
32,305,37518,406.3087316,JAMES BALFOUR RESERVE - TRAFALGAR,PARKLANDS AND GARDENS,BAW BAW
32,305,45672,626.2907391,NOOJEE STATION GROUND PARKLAND,PARKLANDS AND GARDENS,BAW BAW
32,305,45673,869.8721343,NOOJEE STATION GROUND PARKLAND,PARKLANDS AND GARDENS,BAW BAW
32,305,45674,853.2250852,NOOJEE STATION GROUND PARKLAND,PARKLANDS AND GARDENS,BAW BAW
32,305,45675,1027.089063,NOOJEE STATION GROUND PARKLAND,PARKLANDS AND GARDENS,BAW BAW
32,305,46474,188.2825937,ORNAMENTAL PLANTATION,PARKLANDS AND GARDENS,BAW BAW
32,305,47365,156.7666994,PIONEER PARK - THORPDALE,PARKLANDS AND GARDENS,BAW BAW
32,305,62375,344.3060127,YARRAGON CHILDRENS PLAYGROUND RESERVE,PARKLANDS AND GARDENS,BAW BAW
39,306,28760,744.5525502,CHELTENHAM PARK ARBORETUM,PARKLANDS AND GARDENS,BAYSIDE
39,306,30031,137.1037205,CROSS STREET RESERVE - BRIGHTON,PARKLANDS AND GARDENS,BAYSIDE
39,306,32835,2551.959805,ELSTERNWICK PARK,PARKLANDS AND GARDENS,BAYSIDE
39,306,32836,527.410206,ELSTERNWICK PARK,PARKLANDS AND GARDENS,BAYSIDE
39,306,32837,185.8719678,ELSTERNWICK PARK,PARKLANDS AND GARDENS,BAYSIDE
39,306,55533,462.9692327,TRIANGLE GARDENS - HAMPTON,PARKLANDS AND GARDENS,BAYSIDE
39,307,25997,285.7998301,CAMBERWELL GARDENS,PARKLANDS AND GARDENS,BOROONDARA
39,307,38055,1616.336899,KEW RECREATION RESERVE,PARKLANDS AND GARDENS,BOROONDARA
39,307,38056,696.2488659,KEW RECREATION RESERVE,PARKLANDS AND GARDENS,BOROONDARA
39,307,44910,457.7114735,MUSWELL HILL RESERVE - BOROONDARA,PARKLANDS AND GARDENS,BOROONDARA
39,307,48107,440.2946873,PRINCESS STREET PARKLAND - KEW,PARKLANDS AND GARDENS,BOROONDARA
39,307,53119,347.8428023,ST JAMES PARK,PARKLANDS AND GARDENS,BOROONDARA
39,307,53120,444.6258442,ST JAMES PARK,PARKLANDS AND GARDENS,BOROONDARA
39,307,53121,396.05245,ST JAMES PARK,PARKLANDS AND GARDENS,BOROONDARA
39,307,61416,129.2927282,WINDELLA AVENUE RESERVE - KEW,PARKLANDS AND GARDENS,BOROONDARA
39,308,21517,547.7093285,ARDEER COMMUNITY PARK,PARKLANDS AND GARDENS,BRIMBANK
39,308,24417,660.1619081,BONFIELD RESERVE - KEILOR,PARKLANDS AND GARDENS,BRIMBANK
39,308,25739,598.666845,BURNSIDE PARK,PARKLANDS AND GARDENS,BRIMBANK
39,308,25740,93.81285775,BURNSIDE PARK,PARKLANDS AND GARDENS,BRIMBANK
39,308,26793,293.2456969,CAROLINE CHISHOLM PARK - KEILOR,PARKLANDS AND GARDENS,BRIMBANK
39,308,37960,140.7270023,KEILOR CHILDRENS PLAYGROUND,PARKLANDS AND GARDENS,BRIMBANK
39,308,37961,74.87052877,KEILOR CHILDRENS PLAYGROUND,PARKLANDS AND GARDENS,BRIMBANK
39,308,37962,119.4317602,KEILOR CHILDRENS PLAYGROUND,PARKLANDS AND GARDENS,BRIMBANK
39,308,37440,898.2725344,ISABELLA WILLIAMS MEMORIAL RESERVE - DEER PARK,PARKLANDS AND GARDENS,BRIMBANK
39,308,38821,402.8609841,LAGOON RESERVE - KEILOR,PARKLANDS AND GARDENS,BRIMBANK
39,308,41756,410.4822155,MATTHEW HILL RESERVE - SUNSHINE,PARKLANDS AND GARDENS,BRIMBANK
39,308,41757,1137.799116,MATTHEW HILL RESERVE - SUNSHINE,PARKLANDS AND GARDENS,BRIMBANK
39,308,47364,1276.575339,PIONEER PARK - SYDENHAM,PARKLANDS AND GARDENS,BRIMBANK
34,309,28725,153.6186766,CHARLTON CHILDRENS PLAYGROUND,PARKLANDS AND GARDENS,BULOKE
38,310,21246,304.469151,ALTON GARDENS RESERVE - ECHUCA,PARKLANDS AND GARDENS,CAMPASPE
34,310,34829,202.0174524,GIRGARRE PUBLIC PARK RESERVE,PARKLANDS AND GARDENS,CAMPASPE
34,310,34830,171.4491008,GIRGARRE PUBLIC PARK RESERVE,PARKLANDS AND GARDENS,CAMPASPE
38,310,37025,223.7211155,HOPWOOD GARDEN RESERVE,PARKLANDS AND GARDENS,CAMPASPE
38,310,42139,167.1817428,MEMORIAL WALL - LOKINGTON,PARKLANDS AND GARDENS,CAMPASPE
38,310,46945,563.2543058,PARK ECHUCA,PARKLANDS AND GARDENS,CAMPASPE
34,310,46976,289.0281211,PARKLANDS AND GARDENS,PARKLANDS AND GARDENS,CAMPASPE
34,310,51517,497.7097369,RUSHWORTH RECREATION RESERVE (LIONS PARK),PARKLANDS AND GARDENS,CAMPASPE
34,310,53162,131.9702986,STANHOPE MEMORIAL PARK,PARKLANDS AND GARDENS,CAMPASPE
41,311,15921,555.6623301,"DEPARTMENT OF PLANNING LAND, CARDINIA",PARKLANDS AND GARDENS,CARDINIA
39,311,39570,600.8351668,LANG LANG PRIMARY SCHOOL ARBORETUM,PARKLANDS AND GARDENS,CARDINIA
39,311,38511,377.8392989,KOOLONGARRA PARK - BUNYIP,PARKLANDS AND GARDENS,CARDINIA
39,312,29841,362.3474956,CRANBOURNE ROTARY PARK,PARKLANDS AND GARDENS,CASEY
39,312,51351,5065.951502,ROYAL BOTANIC GARDENS - CRANBOURNE1,PARKLANDS AND GARDENS,CASEY
39,312,51352,1795.328514,ROYAL BOTANIC GARDENS - CRANBOURNE1,PARKLANDS AND GARDENS,CASEY
39,312,51353,3691.898968,ROYAL BOTANIC GARDENS - CRANBOURNE1,PARKLANDS AND GARDENS,CASEY
39,312,51354,7943.319299,ROYAL BOTANIC GARDENS - CRANBOURNE1,PARKLANDS AND GARDENS,CASEY
39,312,51355,2208.551622,ROYAL BOTANIC GARDENS - CRANBOURNE1,PARKLANDS AND GARDENS,CASEY
39,312,51356,1971.980833,ROYAL BOTANIC GARDENS - CRANBOURNE1,PARKLANDS AND GARDENS,CASEY
39,312,51357,1797.066068,ROYAL BOTANIC GARDENS - CRANBOURNE1,PARKLANDS AND GARDENS,CASEY
39,312,51358,1225.957673,ROYAL BOTANIC GARDENS - CRANBOURNE1,PARKLANDS AND GARDENS,CASEY
39,312,51359,4672.459926,ROYAL BOTANIC GARDENS - CRANBOURNE1,PARKLANDS AND GARDENS,CASEY
39,312,51360,2319.410512,ROYAL BOTANIC GARDENS - CRANBOURNE1,PARKLANDS AND GARDENS,CASEY
34,313,25249,307.5668647,BUCKNALL RESERVE,PARKLANDS AND GARDENS,CENTRAL GOLDFIELDS
34,313,25250,321.1265492,BUCKNALL RESERVE,PARKLANDS AND GARDENS,CENTRAL GOLDFIELDS
34,313,26812,800.4454633,CARRICK STREET PUBLIC PARK,PARKLANDS AND GARDENS,CENTRAL GOLDFIELDS
34,313,28839,318.8374431,CHILDRENS PLAYGROUND,PARKLANDS AND GARDENS,CENTRAL GOLDFIELDS
34,313,28844,248.1640912,CHILDRENS PLAYGROUND RESERVE,PARKLANDS AND GARDENS,CENTRAL GOLDFIELDS
34,313,28932,1577.867209,CHURCHILL STREET RECREATION RESERVE1,PARKLANDS AND GARDENS,CENTRAL GOLDFIELDS
34,313,28845,145.7837945,CHILDRENS PLAYGROUND RESERVE,PARKLANDS AND GARDENS,CENTRAL GOLDFIELDS
34,313,28846,143.7958112,CHILDRENS PLAYGROUND RESERVE,PARKLANDS AND GARDENS,CENTRAL GOLDFIELDS
34,313,28847,150.608164,CHILDRENS PLAYGROUND RESERVE,PARKLANDS AND GARDENS,CENTRAL GOLDFIELDS
34,313,29792,817.5344787,CRAIGIE PARK RESERVE,PARKLANDS AND GARDENS,CENTRAL GOLDFIELDS
34,313,32309,715.2310593,DUNOLLY PUBLIC PARK,PARKLANDS AND GARDENS,CENTRAL GOLDFIELDS
34,313,33987,255.3081719,FRANK GRAHAM OVAL,PARKLANDS AND GARDENS,CENTRAL GOLDFIELDS
