lga_code,lga_name,all_person,x75_79_per, x55_59_fem, x5_9_fem, x65_69_per, x40_44_per, x75_79_fem, x10_14_per, x30_34_mal, x75_79_mal, x60_64_per, x25_29_mal, x0_4_per, x10_14_fem, x65_69_fem, x80_84_per, x35_39_fem, x85_yrs_pe, x30_34_per, x15_19_fem, x80_84_mal, x0_4_mal, x50_54_per, x45_49_fem, x15_19_mal, x20_24_fem, x55_59_mal, x85_yrs_ma, x15_19_per, x45_49_per, x55_59_per, x50_54_mal, x20_24_mal, x70_74_mal, x70_74_per, x35_39_per, x40_44_fem, x40_44_mal,all_male, x25_29_per, x35_39_mal, x5_9_per, x45_49_mal, x70_74_fem, x85_yrs_fe, x20_24_per,all_female, x50_54_fem, x30_34_fem, x65_69_mal, x0_4_fem, x10_14_mal, x5_9_mal, x25_29_fem, x80_84_fem, x60_64_mal, x60_64_fem
21610,Casey (C),261282,4143,6810,9542,7687,20369,2295,19722,9626,1848,11005,9372,20358,9568,3875,3063,10471,2519,19629,9582,1296,10481,16886,9433,10300,9135,6803,832,19882,18893,13613,8449,9472,2746,5588,20650,10349,10020,130207,19219,10179,19449,9460,2842,1687,18607,131075,8437,10003,3812,9877,10154,9907,9847,1767,5450,5555
22750,Greater Geelong (C),215837,6694,6845,6169,10196,14503,3678,13137,6488,3016,12740,7081,13241,6315,5290,5726,7268,5206,13063,6989,2433,6889,14563,7457,7502,7210,6700,1767,14491,14605,13545,7079,7558,3901,8127,14376,7325,7178,106490,13954,7108,12902,7148,4226,3439,14768,109347,7484,6575,4906,6352,6822,6733,6873,3293,6181,6559
21180,Brimbank (C),191496,4019,5818,5686,7291,13448,2171,11780,7417,1848,10055,8876,12307,5817,3583,2803,6966,2152,14473,6316,1110,6294,12499,6419,6796,7485,5583,784,13112,12655,11401,6036,8343,2768,5441,13701,6821,6627,96056,16928,6735,11603,6236,2673,1368,15828,95440,6463,7056,3708,6013,5963,5917,8052,1693,5015,5040
24970,Monash (C),177345,5989,5049,4330,8321,12263,3190,9100,5763,2799,9226,7828,8992,4433,4402,4711,5831,3958,11278,5439,2077,4534,10844,5898,5856,8204,4698,1387,11295,11574,9747,5223,9699,3532,7360,11509,6433,5830,88061,14375,5678,8900,5676,3828,2571,17903,89284,5621,5515,3919,4458,4667,4570,6547,2634,4325,4901
23270,Hume (C),174290,2897,4680,6270,5685,13239,1566,13128,6437,1331,7747,6700,12870,6560,2835,1867,6333,1131,12833,6620,821,6606,11011,6403,6867,6881,4453,397,13487,12680,9133,5498,7044,2052,4075,12351,6752,6487,86737,13412,6018,12819,6277,2023,734,13925,87553,5513,6396,2850,6264,6568,6549,6712,1046,3782,3965
21110,Boroondara (C),167062,4119,5191,4855,6770,11942,2286,10086,4813,1833,8977,6666,8410,4973,3547,3895,5403,4624,9739,5847,1569,4310,11693,6486,6186,7157,4856,1403,12033,12339,10047,5626,7368,2320,5060,10190,6414,5528,80761,12790,4787,9823,5853,2740,3221,14525,86301,6067,4926,3223,4100,5113,4968,6124,2326,4339,4638
27260,Wyndham (C),166699,1924,3848,6055,4124,12966,1048,11122,8105,876,6230,7384,15066,5454,2027,1351,7235,1135,16222,5417,548,7753,9401,5538,5476,5976,3890,391,10893,11183,7738,4630,6162,1388,2797,14602,6358,6608,83518,15324,7367,12483,5645,1409,744,12138,83181,4771,8117,2097,7313,5668,6428,7940,803,3102,3128
27070,Whittlesea (C),160800,3401,4410,5360,5557,11906,1793,10071,6416,1608,7670,6957,11886,4944,2779,2180,6247,1518,12920,5167,959,6207,9831,5518,5353,6112,4268,550,10520,10781,8678,4736,6286,2111,4308,12374,5991,5915,80029,13879,6127,10922,5263,2197,968,12398,80771,5095,6504,2778,5679,5127,5562,6922,1221,3806,3864
26980,Whitehorse (C),157538,5204,4632,4352,6900,11667,2904,8632,4963,2300,8091,5930,9027,4190,3755,4530,5660,4267,9930,4800,1837,4568,10053,5473,4657,6383,4089,1499,9457,10521,8721,4867,6840,2719,6013,10941,6076,5591,76183,11353,5281,9008,5048,3294,2768,13223,81355,5186,4967,3145,4459,4442,4656,5423,2693,3751,4340
23670,Knox (C),154625,3367,5276,4499,6383,11418,1853,9865,4956,1514,8920,5176,9098,4832,3269,2591,5462,2553,9904,5532,1078,4839,11487,5990,5640,5495,4963,770,11172,11584,10239,5588,5806,2319,4682,10690,5871,5547,76314,10153,5228,9218,5594,2363,1783,11301,78311,5899,4948,3114,4259,5033,4719,4977,1513,4430,4490
25250,Moreland (C),154247,4950,3439,3895,4827,11293,2810,6761,7628,2140,5823,8577,9819,3230,2580,4271,6491,3540,15265,3578,1841,4988,8381,4857,3676,6518,3353,1328,7254,9654,6792,4103,6715,2182,5046,12904,5559,5734,76019,16557,6413,7877,4797,2864,2212,13233,78228,4278,7637,2247,4831,3531,3982,7980,2430,2784,3039
25340,Mornington Peninsula (S),149271,5898,5069,4448,9553,10506,3085,9193,3236,2813,10351,3203,8645,4493,5110,4763,4843,4188,6765,4465,2182,4418,10020,5169,4901,3679,4479,1562,9366,10093,9548,4851,4239,3598,7524,9296,5552,4954,72571,6445,4453,9199,4924,3926,2626,7918,76700,5169,3529,4443,4227,4700,4751,3242,2581,4864,5487
27450,Yarra Ranges (S),148901,2973,5138,4669,6671,11147,1565,10150,4385,1408,9277,4288,9573,4988,3278,2342,5299,1934,8721,5285,1033,4916,11129,5690,5448,4940,4875,663,10733,11146,10013,5522,5214,2248,4462,10277,5677,5470,73920,8601,4978,9598,5456,2214,1271,10154,74981,5607,4336,3393,4657,5162,4929,4313,1309,4532,4745
23430,Kingston (C),148304,4472,4459,4176,6542,11688,2500,7804,5126,1972,8089,5050,9302,3823,3360,3719,5802,3561,10409,4038,1509,4805,10042,5322,4488,4576,4214,1252,8526,10485,8673,4924,5194,2493,5304,11445,5995,5693,72891,9952,5643,8521,5163,2811,2309,9770,75413,5118,5283,3182,4497,3981,4345,4902,2210,3857,4232
21890,Darebin (C),142942,4299,3412,3717,4944,11377,2366,6193,6541,1933,5749,7156,9062,2990,2644,3585,6131,3061,13172,3391,1537,4685,8277,4709,3342,5924,3290,1100,6733,9287,6702,4161,5920,2190,4750,12183,5786,5591,70083,14231,6052,7493,4578,2560,1961,11844,72859,4116,6631,2300,4377,3203,3776,7075,2048,2728,3021
22670,Greater Dandenong (C),142167,3813,4079,3898,5864,9172,2050,8069,6026,1763,7313,7238,9176,3924,2933,2964,4804,2470,11438,4203,1194,4665,8625,4226,4715,5205,3904,885,8918,8607,7983,4365,6263,2234,4630,9858,4466,4706,72208,13730,5054,8069,4381,2396,1585,11468,69959,4260,5412,2931,4511,4145,4171,6492,1770,3568,3745
22310,Glen Eira (C),137152,3526,3868,3941,4769,10675,2052,7302,5001,1474,6846,6014,8772,3511,2486,3545,5316,4111,9960,3548,1469,4563,8763,4771,3857,5034,3862,1383,7405,9418,7730,4232,5207,1801,3994,10386,5601,5074,67174,11660,5070,8049,4647,2193,2728,10241,69978,4531,4959,2283,4209,3791,4108,5646,2076,3338,3508
22170,Frankston (C),130350,3151,3920,3735,5516,9593,1774,8035,4505,1377,6968,4499,8793,3969,2965,2532,4722,2300,8985,4357,1053,4447,8811,4808,4423,4589,3745,827,8780,9363,7665,4331,4624,2030,4219,9440,4879,4714,63890,9182,4718,7804,4555,2189,1473,9213,66460,4480,4480,2551,4346,4066,4069,4683,1479,3356,3612
20660,Banyule (C),122983,3406,3971,3259,5672,8702,1911,6768,4142,1495,7231,4342,7892,3321,2938,2950,4508,2956,8426,3519,1196,4007,8282,4332,3788,4389,3540,996,7307,8239,7511,3952,4634,1963,4210,9012,4394,4308,59922,8581,4504,6815,3907,2247,1960,9023,63061,4330,4284,2734,3885,3447,3556,4239,1754,3411,3820
24210,Manningham (C),116750,4189,3914,3050,6724,8423,2166,6742,3030,2023,7348,3407,5569,3221,3504,3015,3683,2593,6109,3674,1375,2843,8327,4540,3925,4009,3510,898,7599,8636,7424,4038,4243,2809,5715,7062,4412,4011,56931,6716,3379,6307,4096,2906,1695,8252,59819,4289,3079,3220,2726,3521,3257,3309,1640,3346,4002
24650,Melton (S),112643,1244,2956,4434,2826,8691,679,8023,5127,565,4572,4529,10298,3919,1357,826,5010,645,10529,3643,320,5186,6285,3490,3870,3908,2771,216,7513,7033,5727,3081,4084,927,1769,10239,4457,4234,56188,9350,5229,9081,3543,842,429,7992,56455,3204,5402,1469,5112,4104,4647,4821,506,2286,2286
25060,Moonee Valley (C),112180,3348,3276,3075,4509,8518,1844,5767,4212,1504,5647,4670,6563,2848,2341,2767,4332,2493,8546,3120,1212,3342,7198,3904,3130,4250,3062,849,6250,7658,6338,3485,4354,1816,3991,8452,4321,4197,54598,9320,4120,6211,3754,2175,1644,8604,57582,3713,4334,2168,3221,2919,3136,4650,1555,2668,2979
24410,Maroondah (C),107323,2867,3311,3088,4713,7904,1583,6543,3708,1284,5841,3741,6854,3153,2479,2420,3964,2374,7477,3439,962,3510,7098,3916,3517,3560,3065,775,6956,7542,6376,3459,3739,1599,3425,7784,4039,3865,52277,7423,3820,6427,3626,1826,1599,7299,55046,3639,3769,2234,3344,3390,3339,3682,1458,2644,3197
22620,Greater Bendigo (C),101995,2926,3338,3120,4626,6525,1564,6643,2908,1362,6018,3196,6769,3206,2311,2425,3239,2182,5900,3661,1002,3557,6925,3551,3700,3803,3254,709,7361,6833,6592,3358,3684,1815,3746,6271,3314,3211,50084,6409,3032,6357,3282,1931,1473,7487,51911,3567,2992,2315,3212,3437,3237,3213,1423,3025,2993
24600,Melbourne (C),100240,1047,1871,906,2384,5031,535,1744,6554,512,3331,9848,3357,885,1121,798,3094,791,12298,3510,368,1749,3854,2102,3050,11183,1798,257,6560,4256,3669,1919,10066,841,1595,6894,2318,2713,50401,19510,3800,1872,2154,754,534,21249,49839,1935,5744,1263,1608,859,966,9662,430,1684,1647
26350,Stonnington (C),98853,2448,2792,2101,3969,6845,1363,3803,4943,1085,4948,6252,4579,1842,2080,2173,3623,2216,9668,2277,903,2370,5629,2990,2120,5005,2453,727,4397,5868,5245,2720,4513,1584,3295,7349,3409,3436,48033,12662,3726,4241,2878,1711,1489,9518,50820,2909,4725,1889,2209,1961,2140,6410,1270,2333,2615
25900,Port Phillip (C),97276,1668,2377,1556,3225,8122,865,2362,6721,803,4480,6990,4780,1152,1568,1311,5140,1174,13387,1282,596,2423,5542,2998,1313,3932,2472,458,2595,6266,4849,2770,3409,1074,2211,10364,3931,4191,48432,14436,5224,3163,3268,1137,716,7341,48844,2772,6666,1657,2357,1210,1607,7446,715,2246,2234
20910,Bayside (C),96119,2737,3266,3303,4685,7911,1528,6100,1913,1209,5873,1925,5771,2911,2488,2761,3445,3302,4063,2929,1111,2917,7321,3975,3126,2595,3072,1041,6055,7633,6338,3512,2877,1586,3357,6267,4137,3774,46084,3841,2822,6632,3658,1771,2261,5472,50035,3809,2150,2197,2854,3189,3329,1916,1650,2826,3047
20570,Ballarat (C),95185,2714,2922,2877,4124,6147,1512,6005,2789,1202,5207,3224,6445,2910,2139,2143,3038,1942,5721,3514,839,3272,6134,3199,3570,3927,2799,622,7084,6275,5721,2955,3956,1503,3252,6053,3185,2962,46401,6433,3015,5902,3076,1749,1320,7883,48784,3179,2932,1985,3173,3095,3025,3209,1304,2512,2695
23110,Hobsons Bay (C),87395,2421,2509,2435,3201,6975,1366,4790,3335,1055,4307,3511,5990,2251,1666,1847,3443,1569,6714,2428,775,2999,6031,3246,2598,2737,2477,567,5026,6498,4986,2983,3122,1292,2696,6953,3540,3435,43547,6652,3510,4880,3252,1404,1002,5859,43848,3048,3379,1535,2991,2539,2445,3141,1072,2117,2190
27350,Yarra (C),78903,1518,1903,1411,2378,5826,859,2207,5414,659,3303,5952,4033,1124,1205,1083,3661,886,10731,1355,491,2047,4180,2152,1216,3850,1818,329,2571,4653,3721,2079,3239,819,1735,7583,2830,2996,38714,12607,3922,2799,2501,916,557,7089,40189,2101,5317,1173,1986,1083,1388,6655,592,1588,1715
21450,Cardinia (S),75831,1319,1935,2836,2846,5830,663,5624,2477,656,3671,2639,6086,2759,1476,1016,2896,846,5148,2693,449,3136,4760,2706,2775,2631,2025,316,5468,5326,3960,2392,2575,988,1944,5569,2940,2890,37628,5398,2673,5814,2620,956,530,5206,38203,2368,2671,1370,2950,2865,2978,2759,567,1804,1867
24330,Maribyrnong (C),75154,1461,1711,1810,1900,5878,835,3078,4195,626,2618,4717,5378,1456,972,1326,3447,1155,8074,1738,572,2720,4297,2320,1762,3283,1738,413,3500,4773,3449,2204,3676,834,1694,7153,2877,3001,38386,8762,3706,3699,2453,860,742,6959,36768,2093,3879,928,2658,1622,1889,4045,754,1330,1288
23810,Latrobe (C),73788,2081,2411,2239,3422,4757,1108,4804,2087,973,4423,2338,4829,2303,1726,1656,2253,1360,4181,2656,723,2483,5213,2592,2667,2622,2451,446,5323,5105,4862,2612,2622,1370,2751,4372,2408,2349,36555,4804,2119,4601,2513,1381,914,5244,37233,2601,2094,1696,2346,2501,2362,2466,933,2243,2180
25710,Nillumbik (S),62716,815,2430,2140,2449,5070,421,4721,1340,394,3735,1534,3628,2279,1216,586,2209,603,2793,2529,255,1886,5502,2777,2646,2252,2269,190,5175,5277,4699,2710,2473,762,1450,4135,2611,2459,31204,2924,1926,4429,2500,688,413,4725,31512,2792,1453,1233,1742,2442,2289,1390,331,1896,1839
22830,Greater Shepparton (C),61744,1757,1922,1996,2716,4268,924,4532,1715,833,3396,1911,4397,2182,1308,1334,1994,1282,3532,2141,579,2307,4147,2123,2315,1872,1927,426,4456,4203,3849,2113,1916,1096,2173,4011,2090,2178,30986,3790,2017,4113,2080,1077,856,3788,30758,2034,1817,1408,2090,2350,2117,1879,755,1698,1698
