property_id,block_id,seating_type,clue_small_area,trading_name,x_coordinate,y_coordinate,industry_anzsic4_description
106120,206,Seats - Indoor,Carlton,Cafe Corretto,144.966741,-37.80004558,Cafes and Restaurants
106252,267,Seats - Indoor,Carlton,Artee Cafe,144.9664413,-37.80566982,Cafes and Restaurants
106772,913,Seats - Outdoor,Parkville,Parkville Store,144.9556719,-37.79525038,Cafes and Restaurants
108076,63,Seats - Outdoor,Melbourne (CBD),The Deli Counter,144.9599073,-37.81386746,Cafes and Restaurants
525988,257,Seats - Indoor,Carlton,Uni Square Cafe,144.9610729,-37.80239254,Takeaway Food Services
103816,377,Seats - Outdoor,North Melbourne,Mum Mum Asian Street Food,144.9540004,-37.79936937,Cafes and Restaurants
110669,34,Seats - Indoor,Melbourne (CBD),Sushi Hut,144.9629844,-37.81570426,Takeaway Food Services
105682,67,Seats - Indoor,Melbourne (CBD),Dragon Boat Palace,144.9680174,-37.81090617,Cafes and Restaurants
101238,58,Seats - Indoor,Melbourne (CBD),Imperial Hotel,144.972676,-37.8112003,"Pubs, Taverns and Bars"
102950,111,Seats - Indoor,West Melbourne (Residential),Flagstaff City,144.951028,-37.81010661,Accommodation
108591,47,Seats - Outdoor,Melbourne (CBD),Brioche by Phillip,144.9689753,-37.81350285,Takeaway Food Services
109998,607,Seats - Indoor,East Melbourne,The Grey Smith,144.9859889,-37.81609349,Cafes and Restaurants
103292,125,Seats - Indoor,Melbourne (CBD),Wing Loong Chinese Restaurant,144.9601828,-37.80671508,Cafes and Restaurants
620312,1110,Seats - Outdoor,Docklands,LeCirque,144.9378299,-37.81315031,Cafes and Restaurants
104762,415,Seats - Indoor,West Melbourne (Residential),Butcher Shop Cafe,144.945578,-37.8080043,Takeaway Food Services
601815,1109,Seats - Outdoor,Docklands,Replay cafe,144.9401994,-37.81427742,Cafes and Restaurants
589841,76,Seats - Outdoor,Melbourne (CBD),Chatime,144.9657034,-37.810658,Takeaway Food Services
500323,95,Seats - Indoor,Melbourne (CBD),Tarng,144.9626101,-37.80894099,Cafes and Restaurants
620314,1110,Seats - Indoor,Docklands,Healthy Habits,144.9378299,-37.81315031,Cafes and Restaurants
600431,774,Seats - Indoor,Port Melbourne,Underbridge Sports Bar & Cafe,144.9309535,-37.82210926,"Pubs, Taverns and Bars"
104668,64,Seats - Outdoor,Melbourne (CBD),Il Nostro Posto,144.961215,-37.81328955,Cafes and Restaurants
109291,65,Seats - Indoor,Melbourne (CBD),Mekong Vietnam,144.9647784,-37.81239263,Cafes and Restaurants
616045,2524,Seats - Indoor,Kensington,Sori Cafe,144.9299293,-37.79360999,Cafes and Restaurants
620314,1110,Seats - Outdoor,Docklands,The Groove Train,144.9378299,-37.81315031,Cafes and Restaurants
611576,1102,Seats - Outdoor,Docklands,Coffee n' all Customs House,144.9453402,-37.81453858,Cafes and Restaurants
103258,239,Seats - Indoor,Carlton,Top End Cafe,144.9580246,-37.80033364,Takeaway Food Services
106249,252,Seats - Outdoor,Carlton,Da Guido,144.9666832,-37.80403393,Cafes and Restaurants
103978,131,Seats - Outdoor,Docklands,Riverside Teppanyaki,144.9536422,-37.82253633,Cafes and Restaurants
105687,66,Seats - Outdoor,Melbourne (CBD),@T Ease,144.9666305,-37.8112684,Cafes and Restaurants
108104,54,Seats - Indoor,Melbourne (CBD),Workshop Brothers,144.9606804,-37.81402844,Takeaway Food Services
103424,346,Seats - Outdoor,North Melbourne,Fandango,144.9494062,-37.80260762,Takeaway Food Services
109790,354,Seats - Outdoor,North Melbourne,El Subor,144.9496812,-37.804917,Cafes and Restaurants
100592,345,Seats - Indoor,North Melbourne,Saluministi,144.9486384,-37.80374164,Cafes and Restaurants
110673,113,Seats - Indoor,Melbourne (CBD),Market Espresso & Trolley Hire,144.9572395,-37.80745984,Cafes and Restaurants
102117,32,Seats - Indoor,Melbourne (CBD),Henry & The Fox,144.9574732,-37.81753383,Cafes and Restaurants
603923,78,Seats - Indoor,Melbourne (CBD),Zoom Organic ,144.9707325,-37.8091842,Takeaway Food Services
108077,63,Seats - Indoor,Melbourne (CBD),Michelangelo,144.9598741,-37.81379647,Cafes and Restaurants
581061,559,Seats - Indoor,Kensington,Don't Tell Charles Coffee & Desserts,144.9163635,-37.79387621,Cafes and Restaurants
