,property_id,block_id,seating_type,clue_small_area,trading_name,x_coordinate,y_coordinate,industry_anzsic4_description
0,106120,206,Indoor,Carlton,Cafe Corretto,144.966741,-37.80004558,Cafes and Restaurants
1,106252,267,Indoor,Carlton,Artee Cafe,144.9664413,-37.80566982,Cafes and Restaurants
2,106772,913,Outdoor,Parkville,Parkville Store,144.9556719,-37.79525038,Cafes and Restaurants
3,108076,63,Outdoor,Melbourne (CBD),The Deli Counter,144.9599073,-37.81386746,Cafes and Restaurants
5,103816,377,Outdoor,North Melbourne,Mum Mum Asian Street Food,144.9540004,-37.79936937,Cafes and Restaurants
7,105682,67,Indoor,Melbourne (CBD),Dragon Boat Palace,144.9680174,-37.81090617,Cafes and Restaurants
11,109998,607,Indoor,East Melbourne,The Grey Smith,144.9859889,-37.81609349,Cafes and Restaurants
12,103292,125,Indoor,Melbourne (CBD),Wing Loong Chinese Restaurant,144.9601828,-37.80671508,Cafes and Restaurants
13,620312,1110,Outdoor,Docklands,LeCirque,144.9378299,-37.81315031,Cafes and Restaurants
15,601815,1109,Outdoor,Docklands,Replay cafe,144.9401994,-37.81427742,Cafes and Restaurants
17,500323,95,Indoor,Melbourne (CBD),Tarng,144.9626101,-37.80894099,Cafes and Restaurants
18,620314,1110,Indoor,Docklands,Healthy Habits,144.9378299,-37.81315031,Cafes and Restaurants
20,104668,64,Outdoor,Melbourne (CBD),Il Nostro Posto,144.961215,-37.81328955,Cafes and Restaurants
21,109291,65,Indoor,Melbourne (CBD),Mekong Vietnam,144.9647784,-37.81239263,Cafes and Restaurants
22,616045,2524,Indoor,Kensington,Sori Cafe,144.9299293,-37.79360999,Cafes and Restaurants
23,620314,1110,Outdoor,Docklands,The Groove Train,144.9378299,-37.81315031,Cafes and Restaurants
24,611576,1102,Outdoor,Docklands,Coffee n' all Customs House,144.9453402,-37.81453858,Cafes and Restaurants
26,106249,252,Outdoor,Carlton,Da Guido,144.9666832,-37.80403393,Cafes and Restaurants
27,103978,131,Outdoor,Docklands,Riverside Teppanyaki,144.9536422,-37.82253633,Cafes and Restaurants
28,105687,66,Outdoor,Melbourne (CBD),@T Ease,144.9666305,-37.8112684,Cafes and Restaurants
31,109790,354,Outdoor,North Melbourne,El Subor,144.9496812,-37.804917,Cafes and Restaurants
32,100592,345,Indoor,North Melbourne,Saluministi,144.9486384,-37.80374164,Cafes and Restaurants
33,110673,113,Indoor,Melbourne (CBD),Market Espresso & Trolley Hire,144.9572395,-37.80745984,Cafes and Restaurants
34,102117,32,Indoor,Melbourne (CBD),Henry & The Fox,144.9574732,-37.81753383,Cafes and Restaurants
36,108077,63,Indoor,Melbourne (CBD),Michelangelo,144.9598741,-37.81379647,Cafes and Restaurants
37,581061,559,Indoor,Kensington,Don't Tell Charles Coffee & Desserts,144.9163635,-37.79387621,Cafes and Restaurants
