STOP_ID, ROUTES_USING_STOP, LONGITUDE, LATITUDE, STOP_NAME, OBJECTID
"35313","13",143.860463,-37.533221,"Cemetery South/Doveton St N (Invermay Park)",1567
"35300","13",143.860413,-37.532534,"Cemetery South/Doveton St N (Invermay Park)",1555
"35312","13",143.861031,-37.530208,"Ballarat General Cemetery/Doveton St N (Invermay Park)",1566
"35301","13",143.860884,-37.530195,"Ballarat General Cemetery/Doveton St N (Invermay Park)",1556
"35311","13",143.861395,-37.528263,"Swinglers Rd/Slatey Creek Rd (Invermay Park)",1565
"35302","13",143.861304,-37.528017,"Heinz Lane/Slatey Creek Rd (Invermay Park)",1557
"35310","13",143.862062,-37.524776,"Northwood Ct/Slatey Creek Rd (Invermay Park)",1564
"35303","13",143.861211,-37.525654,"Slatey Creek Rd/Bogong Ave (Invermay Park)",1558
"35058","10",143.851431,-37.535449,"CDC Ballarat/Norman St (Invermay Park)",2053
"35305","13",143.857181,-37.525168,"Ashford Ct/Bogong Ave (Invermay Park)",1559
"35308","13",143.85819,-37.522429,"Curragh Ct/Wickow Dr (Invermay Park)",1562
"35223","30",143.849494,-37.534982,"Norman St/Creswick Rd (Wendouree)",2158
"35236","30",143.849239,-37.534859,"Norman St/Creswick Rd (Wendouree)",2169
"35306","13",143.854423,-37.524843,"Wicklow Dr/Bogong Ave (Invermay Park)",1560
"35307","13",143.854501,-37.523259,"Kerry Way/Wicklow Dr (Invermay Park)",1561
"35096","10",143.847539,-37.535174,"Creswick Rd/Norman St (Wendouree)",2074
"35057","10",143.847603,-37.535013,"Creswick Rd/Norman St (Wendouree)",2052
"35222","30",143.849438,-37.530656,"Selkirk Dr/Creswick Rd (Wendouree)",2157
"35237","30",143.849212,-37.53065,"Selkirk Dr/Creswick Rd (Wendouree)",2170
"35221","30",143.8483,-37.526787,"Heinz Lane/Creswick Rd (Wendouree)",2156
"35238","30",143.84798,-37.526869,"Coronet St/Creswick Rd (Wendouree)",2171
"35097","10",143.843419,-37.534685,"Wendouree Community Sports Club/Norman St (Wendouree)",2075
"35056","10",143.843066,-37.534459,"Dowling St/Norman St (Wendouree)",2051
"50323","12",143.841543,-37.532481,"Leonard St/Dowling St (Wendouree)",6493
"23170","12",143.841955,-37.531564,"Pauls Cres/Dowling St (Wendouree)",333
"35055","10",143.840432,-37.534145,"Dowling St/Norman St (Wendouree)",2050
"35098","10",143.840255,-37.534312,"Dowling St/Norman St (Wendouree)",2076
"50322","12",143.84076,-37.528784,"Webbcona Bowls Club/Grevillea Rd (Wendouree)",6492
"41728","12",143.840662,-37.528692,"Webbcona Bowls Club/Grevillea Rd (Wendouree)",4408
"35054","10",143.83638,-37.533649,"Eton St/Norman St (Wendouree)",2049
"35099","10",143.836247,-37.533844,"Prefect St/Norman St (Wendouree)",2077
"50321","12",143.838228,-37.528482,"Yale St/Grevillea Rd (Wendouree)",6491
"35220","30",143.846694,-37.512274,"Millers Rd/Creswick Rd (Mount Rowan)",2155
"35239","30",143.846375,-37.51205,"Olliers Rd/Creswick Rd (Mount Rowan)",2172
"50320","12",143.836387,-37.528126,"Uniting Church/Grevillea Rd (Wendouree)",6490
"35100","10",143.83197,-37.533315,"Ballarat Grammar/Norman St (Wendouree)",2078
"51542","10",143.830886,-37.532997,"Forest St/Norman St (Wendouree)",6663
"50319","12",143.833734,-37.527199,"Grevillea Rd/Forest St (Wendouree)",6489
"35050","12",143.834191,-37.525761,"Harrow St/Forest St (Wendouree)",2048
"35049","12",143.834585,-37.523663,"Hancock St/Forest St (Wendouree)",2047
"50318","12",143.834242,-37.524014,"Hancock St/Forest St (Wendouree)",6488
"35048","12",143.834401,-37.521063,"Forest St/Langstaffe Dr (Wendouree)",2046
"50317","12",143.833565,-37.521041,"Ballarat Sec Col/Langstaffe Dr (Wendouree)",6487
"35047","12",143.832442,-37.520831,"Ballarat Sec Col/Langstaffe Dr (Wendouree)",2045
"48364","10",143.82554,-37.532349,"Stockland SC/Norman St (Wendouree)",6327
"35038","10",143.824833,-37.532474,"Stockland SC/Norman St (Wendouree)",2040
"35007","10,11,12,31,",143.823227,-37.534593,"Stockland SC/Gillies St N (Wendouree)",2015
"35139","10,11,12,31,",143.823066,-37.534121,"Stockland SC/Gillies St N (Wendouree)",2106
"35039","12,11",143.823548,-37.531557,"Weeramar Park/Gillies St N (Wendouree)",2041
"35124","26",143.83673,-37.559626,"City Oval Bowling Club/Sturt St (Newington)",2095
"35114","26",143.836458,-37.559348,"City Oval Bowling Club/Sturt St (Lake Wendouree)",2087
"50327","12",143.846116,-37.542091,"Ballarat Showgrounds/Howitt St (Wendouree)",6497
"35021","11",143.844663,-37.543827,"BlueCross Church/Burnbank St (Lake Wendouree)",2025
"35019","11",143.843334,-37.542332,"Howitt St/Burnbank St (Wendouree)",2024
"35125","26",143.833757,-37.559267,"Ballarat Clarendon College/Sturt St (Newington)",2096
"35291","11",143.84315,-37.54239,"Howitt St/Burnbank St (Wendouree)",1547
"35113","26",143.832495,-37.558872,"St Patricks College/Sturt St (Lake Wendouree)",2086
"35292","12,11",143.841826,-37.541589,"Burnbank St/Howitt St (Wendouree)",1548
"35126","26",143.831786,-37.559034,"St Patricks College/Sturt St (Newington)",2097
"51547","12",143.840201,-37.540951,"Howitt St/Dowling St (Wendouree)",6668
"35293","11",143.839507,-37.541311,"Dowling St/Howitt St (Wendouree)",1549
"51546","12",143.840035,-37.540343,"Howitt St/Dowling St (Wendouree)",6667
"35018","11",143.839212,-37.54106,"Dowling St/Howitt St (Wendouree)",2023
