event_name,type,icon,color,description,location,Free,price,min_price,max_price,contact,link,lat,lng,image
Melbourne Fringe Festival,Festival,gift,black,"Come outside and have a play, Melbourne. The Melbourne Fringe Festival is back this October, with over 450 events to discover across the city from cutting-edge independent artists.

This October the city is your own art adventure playground, with three weeks of groundbreaking new events, art and bold ideas (and just a dollop of mischief and mayhem) set to bring out the cheeky and artistic spirit of Melbourne. With 20 days of comedy, cabaret, dance, drag, music, and the simply undefinable, there’s something for everyone at Fringe.

This year’s Festival is all about reminding everyone of something that kids innately know: that fun and play can be found around every corner, and rules were made to be broken.","Trades Hall Place
Trades Hall Pl
Melbourne 3004",1,From free to $60,0,60,"03 9660 9600
info@melbournefringe.com.au",https://whatson.melbourne.vic.gov.au/things-to-do/melbourne-fringe-festival,-37.80695612,144.9666389,https://whatson.melbourne.vic.gov.au/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaEpJaWxqTXpJNU1qRmlZeTFqWVRjd0xUUTRObUV0T1RNeVpDMHlZbVJoTkRobU56WmlNRElHT2daRlZBPT0iLCJleHAiOm51bGwsInB1ciI6ImJsb2JfaWQifX0=--76b5f46920b437da5eb16a0b5d87aa5f2831d889/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDRG9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2REdkeVlYWnBkSGxKSWd0RFpXNTBaWElHT3daVU9oTnlaWE5wZW1WZmRHOWZabWxzYkZzSGFRSndBMmtDVGdJPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--f3876e1fcc2db92cdffea604834734701decf454/7491d506-196d-4e00-8cb5-66707805e63f.jpg
THE LUME Melbourne,Art,paint-brush,red,"Ranking among Melbourne's most-loved and most-visited attractions, THE LUME Melbourne immerses visitors into the world’s finest art at a jaw-dropping scale.

Its current feature experience, Connection, is a breathtaking showcase of First Nations art, music and culture. The experience features nearly 650 artworks from more than 110 visual and musical artists, representing the largest collection of First Nations art ever assembled. Connection spans a digital experience, a gallery of original artworks, interactive installations, dining centred around native ingredients, and more. Connection fuses the world's oldest culture with cutting-edge technology.

Once inside, indulge your senses at the cafe Mirri, with a food and beverage menu curated by renowned chef Mark Olive. Venture inside the interactive installation Art Play, or marvel at the mesmerising mirrored infinity room, named after the legendary artist, Emily Kame Kngwarreye, and her series known as Emily’s Wall.","Melbourne Convention and Exhibition Centre (west end)
5 Convention Centre Pl
South Wharf 3006",0,"From $34 to $158

Adult / general $49
Senior $44
Student / concession $39
Children $34
Free for children under 3",34,158,"03 8638 0609
enquiries.melbourne@thelume.com",https://whatson.melbourne.vic.gov.au/things-to-do/the-lume-melbourne,-37.82514342,144.9506174,https://whatson.melbourne.vic.gov.au/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaEpJaWxoTjJRek5HTXdZeTAwTXpobExUUXhOall0T1RjMU15MHpNMlF3TUdNMU16RTNPVGNHT2daRlZBPT0iLCJleHAiOm51bGwsInB1ciI6ImJsb2JfaWQifX0=--2a33e05647aeb717b1f813ea45653ae0e2c1270e/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDRG9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2REdkeVlYWnBkSGxKSWd0RFpXNTBaWElHT3daVU9oTnlaWE5wZW1WZmRHOWZabWxzYkZzSGFRSndBMmtDVGdJPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--f3876e1fcc2db92cdffea604834734701decf454/b83d5225-178f-4ef0-b706-bbabbdf2339b.jpg
Arriba Melbourne Mexican Festival,Festival,gift,black,"During the Melbourne Mexican Festival, be immersed in a vibrant Mexican extravaganza in the heart of the city.

Indulge in a Day of the Dead costume competition and parade, alongside Mexican cuisine, folklore, dance, music and colorful costumes.

Savor authentic Mexican flavors like salsa, guacamole, tacos, burritos and more from over 20 food vendors. Enjoy a fully licensed bar serving five types of margaritas and a wide selection of alcoholic and non-alcoholic beverages. Be entertained by various artists, live music and DJs, ensuring a lively atmosphere throughout this free event.","Flagstaff Gardens
309-311 William St
West Melbourne 3003",1,"This is a free event

Booking not required",0,0,"0427 680 779
events@casablancaevents.com.au",https://whatson.melbourne.vic.gov.au/things-to-do/arriba-melbourne-mexican-festival,-37.81044324,144.9545521,https://whatson.melbourne.vic.gov.au/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaEpJaWs0TUdVd05ESTFOQzFpWWpkbUxUUmlOREF0WVdKaU1pMHlNbVZtWldFNU9EaGpaVFFHT2daRlZBPT0iLCJleHAiOm51bGwsInB1ciI6ImJsb2JfaWQifX0=--1e5175d93b3ba768cf32db5c2ad941e7a793c16e/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDRG9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2REdkeVlYWnBkSGxKSWd0RFpXNTBaWElHT3daVU9oTnlaWE5wZW1WZmRHOWZabWxzYkZzSGFRSndBMmtDVGdJPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--f3876e1fcc2db92cdffea604834734701decf454/a770c775-0f5b-4b66-8138-82afb0958302.jpg
Oktoberfest at Hofbräuhaus,Festival,gift,black,"Melbourne’s most iconic Oktoberfest is celebrating its 55th birthday, so dust off your lederhosen, get in your dirndl and release your inner Bavarian!

Celebrations kick off with the legendary opening party at lunchtime of course, on Saturday 16 September.

Oktoberfest celebrations include live music with a house and a German/Austrian Oktoberfest band; three especially imported biers; competitions with prizes up for grabs; drink specials; and all the German comfort food you could desire.","Hofbräuhaus Melbourne
18-28 Market Ln
Melbourne 3000",1,"This is a free event

Booking not required",0,0,"03 9663 3361
bookings@hofbrauhaus.com.au",https://whatson.melbourne.vic.gov.au/things-to-do/oktoberfest-at-hofbrauhaus,-37.81151734,144.9692918,https://whatson.melbourne.vic.gov.au/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaEpJaWt6TURCaE1HSmxZaTAyTUdRMUxUUXhNamN0WVRrMk1DMDVPVE5oTkRRME5HRmlZVGtHT2daRlZBPT0iLCJleHAiOm51bGwsInB1ciI6ImJsb2JfaWQifX0=--3f5b98979a5b5cd61103f008e6ec2041f6b76e5d/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDRG9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2REdkeVlYWnBkSGxKSWd0RFpXNTBaWElHT3daVU9oTnlaWE5wZW1WZmRHOWZabWxzYkZzSGFRSndBMmtDVGdJPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--f3876e1fcc2db92cdffea604834734701decf454/eaeb8192-e8e7-49a0-8bee-bd1d5403662d.jpg
African Music and Cultural Festival,Festival,gift,black,"In its tenth year, the three day showcase will include:

Friday 17 November, 12pm – 10pm
An outdoor cinema vibe, broadcasting African-Australian short films, spoken word performances and live jazz music. Friday will be the ideal opportunity to pop by with friends and colleagues, enjoy a delicious African street food lunch, dinner and drinks in a great festival atmosphere.

Saturday 18 November, 10am – 10pm
The main festival day returns with a multi-layered program delivering 12 hours of non-stop live entertainment. Showcasing cultural band performances, music, dance, fashion, arts, shopping and a swag of market stalls selling African wares, free drumming lessons, along with authentic mouth-watering African street food.

Sunday 19 November, 10am – 8pm
A continuation of day two featuring 10 hours of non-stop entertainment, plus a forum on topical African Australian issues with panelists.","Federation Square
Melbourne
Victoria 3004",1,"This is a free event

Booking not required",0,0,media@amcf.org.au,https://whatson.melbourne.vic.gov.au/things-to-do/african-music-and-cultural-festival,-37.81778516,144.9690989,https://whatson.melbourne.vic.gov.au/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaEpJaWt6T1RCaE1qQmpNaTAzT0RVeUxUUTNPR1V0WVdabVppMWhOV00zWkdSaE56STRaVEVHT2daRlZBPT0iLCJleHAiOm51bGwsInB1ciI6ImJsb2JfaWQifX0=--b1cded3e3c1b1480260cee750c877059951350df/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDRG9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2REdkeVlYWnBkSGxKSWd0RFpXNTBaWElHT3daVU9oTnlaWE5wZW1WZmRHOWZabWxzYkZzSGFRSndBMmtDVGdJPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--f3876e1fcc2db92cdffea604834734701decf454/18be6dcc-b729-4c3e-9e2a-3eeda6ca1850.jpg
Europa Night Market,Festival,gift,black,"The Europa Night Market brings your favourite European street eats this spring to Melbourne’s iconic sheds at Queen Vic Market.

Enjoy a smorgasbord of classic European street food with flavours from central and Eastern Europe, the Iberian Peninsula, the Mediterranean and beyond. Then browse traditional wares, art and mixed trinkets. Plus, enjoy a weekly rotation of traditional music, entertainment and Euro-inspired bars.

Weekly themes:
Wed 27 Sep: Italian Night
Wed 4 Oct: Bavarian Night
Wed 11 Oct: French Provincial Night
Wed 18 Oct: Iberian Night
Wed 25 Oct: Mediterranean Night","Queen Victoria Market
Queen St
Melbourne 3000",1,"This is a free event

Booking not required",0,0,-,https://whatson.melbourne.vic.gov.au/things-to-do/europa-night-market,-37.80738057,144.9566884,https://whatson.melbourne.vic.gov.au/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaEpJaWt6Tmprek1XRTFaUzA0TjJOa0xUUXlNV0l0T1dJeVpTMW1Nak13WkRBME5URTRZakFHT2daRlZBPT0iLCJleHAiOm51bGwsInB1ciI6ImJsb2JfaWQifX0=--b686eb1a9fcf0d8ad8aebfcad677ae6c710a6ac8/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDRG9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2REdkeVlYWnBkSGxKSWd0RFpXNTBaWElHT3daVU9oTnlaWE5wZW1WZmRHOWZabWxzYkZzSGFRSndBMmtDVGdJPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--f3876e1fcc2db92cdffea604834734701decf454/b49776f5-2b58-4a94-80a3-5bb756ef6afe.jpg
Moulin Rouge! The Musical,Theatre,music,green,"Pop the champagne bohemians.

After celebrating stellar reviews and a sold-out premiere season in Melbourne, Moulin Rouge! The Musical is now playing at the iconic Regent Theatre.

Enter a world of splendour and romance, of eye-popping excess, of glitz, grandeur and glory. A world where bohemians and aristocrats rub elbows and revel in electrifying enchantment.

Winner of 10 Tony awards, including Best Musical, Baz Luhrmann’s revolutionary film comes to life onstage, remixed in this musical mash-up extravaganza featuring over 70 songs including everyone’s favourite Lady Marmalade, there are also thrilling new additions such as Chandelier, Single Ladies and Firework.

A theatrical celebration of truth, beauty, freedom, and – above all – love.","Regent Theatre
191 Collins St
Melbourne 3000

",0,From $59 to $299,59,299,-,https://whatson.melbourne.vic.gov.au/things-to-do/moulin-rouge-the-musical,-37.81542837,144.9676317,https://whatson.melbourne.vic.gov.au/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaEpJaWt5TXpVNFpHRmpaUzFqTVROa0xUUmtNVE10WWpFMlpTMWhNV1JqWVRBNFpqQTROVGNHT2daRlZBPT0iLCJleHAiOm51bGwsInB1ciI6ImJsb2JfaWQifX0=--f7439b04645146ea829084e49cf19d10ae240b60/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDRG9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2REdkeVlYWnBkSGxKSWd0RFpXNTBaWElHT3daVU9oTnlaWE5wZW1WZmRHOWZabWxzYkZzSGFRSndBMmtDVGdJPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--f3876e1fcc2db92cdffea604834734701decf454/50a92230-5eca-4d8c-abbc-0c17ad98da97.jpg
Hour of the Wolf,Theatre,music,green,"Venture into the Hour of the Wolf. Building on the landmark success of Because the Night (2021), Malthouse Theatre realises Australia’s next chapter of large-scale immersive theatre with Hour of the Wolf.

Welcome to Hope Hill, a town that is yours to freely explore on the longest night of the year where interweaving stories play out around you. On this night, a mysterious wolf visits the town, leaving a trail of curious disappearances.

Choose which of the eleven characters to follow—pick left or right at the end of every scene—and trace the story from different points of view. Everyone will arrive at the same conclusion, but how you get there is up to you.

Immerse in the stories, unlock the secrets of the town, and indulge your curiosity by venturing off the path to solve side quests—it might take you one step closer to meeting the myth herself","Malthouse Theatre
113 Sturt St
Southbank 3006",0,"
Adult / general $99
Student / concession $65",65,99,"03 9685 5111
boxoffice@malthousetheatre.com.au",https://whatson.melbourne.vic.gov.au/things-to-do/hour-of-the-wolf,-37.82676245,144.966529,https://whatson.melbourne.vic.gov.au/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaEpJaWxqT1dFNU16STRZaTAzWldJeUxUUTROakV0T0RRNVpTMHpaR0kyT0dFd05HVTBZbVFHT2daRlZBPT0iLCJleHAiOm51bGwsInB1ciI6ImJsb2JfaWQifX0=--2eadc5691387559a76287ecebb5aaf947a25ea00/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDRG9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2REdkeVlYWnBkSGxKSWd0RFpXNTBaWElHT3daVU9oTnlaWE5wZW1WZmRHOWZabWxzYkZzSGFRSndBMmtDVGdJPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--f3876e1fcc2db92cdffea604834734701decf454/72999576-54d1-43b5-9695-be19b4946fbc.jpg
The Friends Experience,Art,paint-brush,red,"Fans of the hit television show Friends will be able to recreate their favourite scenes and celebrate some of the most iconic moments from the globally loved sitcom in this truly unique interactive experience.
​
Featuring a variety of nostalgia-packed, interactive recreated sets, including Monica’s kitchen and the iconic Friends fountain, this experience provides guests with plenty of opportunities to explore the show’s history and recreate their favourite scenes.

Of course, no Friends experience would be complete without paying homage to the sitcom’s famed coffee house, Central Perk, which will be fully recreated on-site complete with the legendary orange sofa. Fans will also be able to take home a memento of their visit from The Friends Experience shop where they will find a selection of exclusive merchandise.

Extended hours during school holidays, check socials.","The District Docklands
440 Docklands Dr (cnr Star Cres & Studio Lane)
Docklands 3008",0,"From $25 to $47.50

Adult / general $31.50
Children $25",25,47,friendstheexperience@lifeliketouring.com,https://whatson.melbourne.vic.gov.au/things-to-do/the-friends-experience,-37.81238829,144.9369982,https://whatson.melbourne.vic.gov.au/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaEpJaWxoTlRsbU5ETTFZUzAwTmpjekxUUTJOV0l0T1RCbFpTMWpZalprWVRNMU9Ua3lOMklHT2daRlZBPT0iLCJleHAiOm51bGwsInB1ciI6ImJsb2JfaWQifX0=--8a113e64bafc7872a1ec158f43b2e152edc907c9/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDRG9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2REdkeVlYWnBkSGxKSWd0RFpXNTBaWElHT3daVU9oTnlaWE5wZW1WZmRHOWZabWxzYkZzSGFRSndBMmtDVGdJPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--f3876e1fcc2db92cdffea604834734701decf454/32889eb7-e29f-4fa8-b911-5bb763867c8b.jpg
NGV Triennial,Art,paint-brush,red,"NGV Triennial 2023 is a powerful and moving snapshot of the world today as captured through the work of 100 artists, designers, and collectives at the forefront of global contemporary practice. Bringing contemporary art, design and architecture into dialogue with one another and traversing all four levels of NGV International, the NGV Triennial features more than 75 projects inviting us to reflect on the world as it is, while also asking how we would like it to be.

With over 25 world-premiere projects commissioned by the NGV, the NGV Triennial reveals the extraordinary ways in which leading and emerging artists and designers have responded to the most relevant and critical global issues of our time.

Three key thematic pillars of Magic, Matter and Memory anchor the event. Rather than forming a structure for the exhibition’s organisation and the selection of works, the themes offer insight into the concerns of the artists and designers in the exhibition.","National Gallery of Victoria
180 St Kilda Rd
Melbourne 3006
",1,"This is a free event

Booking not required",0,0,"03 8620 2222
enquiries@ngv.vic.gov.au",https://whatson.melbourne.vic.gov.au/things-to-do/ngv-triennial,-37.82237806,144.96896,https://whatson.melbourne.vic.gov.au/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaEpJaWxoTnpZNE5qRTNNeTB5T1dKbUxUUmpZekV0WVROa1pTMWlZamRqWldJME1HSmlOVElHT2daRlZBPT0iLCJleHAiOm51bGwsInB1ciI6ImJsb2JfaWQifX0=--627a79c7c650259403e1c61df673ed387c0dfeb3/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDRG9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2REdkeVlYWnBkSGxKSWd0RFpXNTBaWElHT3daVU9oTnlaWE5wZW1WZmRHOWZabWxzYkZzSGFRSndBMmtDVGdJPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--f3876e1fcc2db92cdffea604834734701decf454/df0a1241-9e65-49e2-a5d4-cea3c8b8e147.jpg
