Geo Point,Geo Shape,he_loop,lift,pids,station
"-37.856434999999976, 145.01937400000008","{""coordinates"": [145.01937400000008, -37.856434999999976], ""type"": ""Point""}",No,No,Dot Matrix,Armadale
"-38.02704499999999, 145.10200700000007","{""coordinates"": [145.10200700000007, -38.02704499999999], ""type"": ""Point""}",No,No,No,Aspendale
"-37.90909899999997, 145.35529100000008","{""coordinates"": [145.35529100000008, -37.90909899999997], ""type"": ""Point""}",No,No,Dot Matrix,Belgrave
"-38.33774699999998, 145.1777390000001","{""coordinates"": [145.1777390000001, -38.33774699999998], ""type"": ""Point""}",No,No,No,Bittern
"-37.82015799999999, 145.15019700000005","{""coordinates"": [145.15019700000005, -37.82015799999999], ""type"": ""Point""}",No,Yes,Dot Matrix,Blackburn
"-37.859830999999986, 145.28429700000004","{""coordinates"": [145.28429700000004, -37.859830999999986], ""type"": ""Point""}",No,Yes,Dot Matrix,Boronia
"-37.767944, 144.95955800000002","{""coordinates"": [144.95955800000002, -37.767944], ""type"": ""Point""}",No,No,No,Brunswick
"-37.78822399999996, 144.995495","{""coordinates"": [144.995495, -37.78822399999996], ""type"": ""Point""}",No,No,Dot Matrix,Clifton Hill
"-37.742411000000004, 144.963347","{""coordinates"": [144.963347, -37.742411000000004], ""type"": ""Point""}",No,No,Dot Matrix,Coburg
"-37.80454299999997, 144.993743","{""coordinates"": [144.993743, -37.80454299999997], ""type"": ""Point""}",No,No,No,Collingwood
"-37.602716999999984, 144.94301200000007","{""coordinates"": [144.94301200000007, -37.602716999999984], ""type"": ""Point""}",Yes,No,Dot Matrix,Craigieburn
"-37.76385399999998, 144.99709900000005","{""coordinates"": [144.99709900000005, -37.76385399999998], ""type"": ""Point""}",No,No,LCD,Croxton
"-37.989934000000005, 145.20963900000004","{""coordinates"": [145.20963900000004, -37.989934000000005], ""type"": ""Point""}",No,Yes,Dot Matrix,Dandenong
